# X, Y, Phi, Purcell, Transmission
3.292196638990789565e-06,1.226623377352952941e-06,7.627996059134602547e+01,1.632459338875379018e+01,1.557570960443328723e+01
3.268049856500364701e-06,1.213407956138253096e-06,-4.686525621917098761e+01,1.275014002001380042e+01,8.113023350010267754e-02
3.288780083066448493e-06,1.030178408902138501e-06,-8.956971550360321999e+00,1.367902289590596254e+01,1.546284213978206014e-02
3.318463306852280904e-06,1.637263637934811285e-06,1.950110214762389660e+01,1.310402861340103442e+01,1.062713630830149825e+01
3.164663021463565426e-06,1.796888211518526056e-06,6.505023058969527483e+01,1.609764100411859644e+01,1.314907976333236483e+01
3.118093849301002770e-06,1.538291462874039853e-06,-3.004647175781428814e+01,1.891532660621188811e+01,3.648019797657477969e-01
3.104710210707634704e-06,1.463093247176148105e-06,-6.617515324149280787e+01,1.511775936698265532e+01,1.444909857393189156e+01
3.229186649589463880e-06,1.171224674237891998e-06,-4.579144171904772520e+01,1.812353749104659428e+01,3.995361297784549293e-01
3.262659308460206022e-06,1.807241489309817630e-06,-8.725270538125187159e+01,2.018067170158102552e+00,1.629032896549096110e+00
3.154631066999062736e-06,1.064603975000791192e-06,3.145236871205270290e+00,2.771274644314527436e+01,3.401483146650186584e-01
3.266689124607145947e-06,1.673402455607429191e-06,6.393934309948235750e+01,2.553400266047917455e+01,1.026379251206559484e+00
3.186244446687996327e-06,1.481406978536397403e-06,5.731402934063225985e+01,9.327009117901726043e+00,9.920512320081947832e-02
3.236389975805431559e-06,1.489921160666272109e-06,1.049976229202002287e+01,2.595977125474020397e+01,2.123387640130865606e+01
3.215716846945360230e-06,9.935307954484595842e-07,2.632936143781989813e+01,1.595329204121185285e+01,1.303260555135167742e+01
3.330334103313870863e-06,1.181700446670874847e-06,-6.491248595528304577e+01,8.272052525060177075e+00,1.304819469631638418e-01
3.276771837511695911e-06,9.520535646332427476e-07,1.590493715833872557e+01,3.385402826858381786e+01,2.764271193564749041e+01
3.209436671833172384e-06,1.427632643464021415e-06,-8.082820274401456118e+01,2.183328085250563788e+01,2.033347105578436551e-02
3.230700728773735307e-06,1.716104400190524862e-06,8.485232247970998287e+01,1.791234659978232102e+01,6.282147896063529358e-02
3.313878999163061354e-06,1.175536977318115501e-06,-6.991616480983793736e+01,4.261319054409129059e+00,4.559485215787509316e-02
3.249144191375598389e-06,1.703734336933121276e-06,6.499555141199380159e+01,2.327283492348330185e+01,5.200401468268817107e-01
3.100107718619182797e-06,1.797400113153271486e-06,-7.494087289553135633e+01,4.325739938282591623e+00,1.433015765566474919e-01
3.190084257807247518e-06,9.356205779267474147e-07,-5.316168417222797871e+01,1.860346571594403287e+01,1.516960758463964076e+01
3.168813935878351452e-06,1.832613117229193432e-06,2.537416725419461727e+01,2.638341489471948620e+01,1.157780782344386195e+00
3.319319113205783172e-06,1.742826218279078604e-06,2.403650506865233183e+01,8.936732525596784882e+00,1.249743360833431849e-01
3.282788853572346354e-06,9.914146226644516529e-07,-7.893947619013488293e+01,8.598876920182028982e+00,7.007054427226760751e+00
3.198279695400633112e-06,1.413933498067781369e-06,-3.067310225218534470e+01,2.966936932071439514e+01,4.467644544094436787e-01
3.093006443634293894e-06,1.848634814582765070e-06,5.239765031263232231e+01,8.369885603970397270e-01,1.069612391257413961e-02
3.111305143490098652e-06,1.253192511140368781e-06,8.638857357669621706e+01,2.230401748984024834e+01,2.130524160576338133e+01
3.300550782458521568e-06,1.380807112031616292e-06,4.871968880295753479e+01,1.036736535318760311e+01,3.142869969625519590e-03
3.304847125636078389e-06,1.514649230577051505e-06,-5.458269906230270863e+01,1.947005662677385018e+01,1.860191387623404324e+01
3.342552579992115730e-06,1.507872490268200431e-06,8.254459820687770844e+01,2.495694505540684816e+01,2.386797694574764961e+01
3.160393065429888696e-06,1.041470053051598284e-06,-1.079125311691313982e+01,1.304497632855148836e+01,7.863418322317064805e-04
3.252155154502615504e-06,1.445378529303706946e-06,-2.681314410176128149e+01,1.742842348657049811e+01,1.418947387871578592e+01
3.201199768131263376e-06,1.027784747756086355e-06,-5.336898640729486942e+01,3.310513134881736708e+00,2.656095502426657262e+00
3.219840633921921226e-06,1.733717678049579152e-06,5.281425550114363432e+01,7.057130290493214275e+00,1.108484040956464120e-02
3.128058907284065918e-06,1.279063248499296537e-06,-6.277651546988636255e+01,2.038259410318710607e+01,1.945205107085583052e+01
3.157996155970394624e-06,1.626419908399693472e-06,3.818483307491987944e+01,1.283660972084962815e+01,1.043806641525572765e+01
3.176235245332717958e-06,1.844617583141662267e-06,-1.233563319314271212e+01,3.624625068170881548e+01,1.207319280469144607e+00
3.273280194650068996e-06,1.694618867789395303e-06,-8.596370798069983721e+01,6.922692733321859748e+00,5.770309071166291881e-01
3.122679389986805521e-06,1.118800282678566938e-06,-5.665626246482133865e+00,9.682049681305311850e+00,7.853106659013808333e+00
3.176346718987114664e-06,9.854532158933579623e-07,-3.346797645092010498e+01,2.879368295543083534e+01,2.349241535989011709e+01
3.293679935998879345e-06,1.382606747308745967e-06,-1.815479448996484280e+01,2.305165619914271957e+01,6.269736985645162422e-03
3.119962016010321574e-06,1.728177656023762955e-06,3.694546094164252281e+01,1.492415257057546363e+01,6.392318870549422716e-01
3.141184644011445406e-06,1.544235106902197077e-06,8.724501129705458879e+01,1.706347329208237440e+01,1.627702451462409883e+01
3.287158341269605107e-06,1.702068954594433122e-06,-8.666818636469542980e+01,1.218967152939064036e+01,9.950403430262284132e+00
3.099792391608134064e-06,1.802329408260993552e-06,-6.045773739460855722e+01,1.951593511982635532e+00,4.333500826513262544e-02
3.148565144051462330e-06,1.689478092738427255e-06,-9.783840682357549667e+00,3.105357767882626518e+01,5.204285227720163443e-01
3.314486525903120845e-06,1.773893492263741892e-06,1.045990064274519682e+01,2.545253378875326433e+00,2.080913559693937653e+00
3.310225688523277570e-06,1.571884434758685725e-06,1.194370172917842865e+01,1.307026266072903908e+01,6.488961110762058067e-03
3.222642478152774250e-06,1.486088862447068108e-06,-4.874523885548114777e+01,1.170057753519869159e+01,9.487330373225834279e+00
3.313506824096329559e-06,1.604514216654934087e-06,5.057850734330713749e+01,1.609406579989500097e+00,5.458632112904192313e-02
3.190565516447313284e-06,1.847427681684494126e-06,-6.512363049667328596e+01,1.354248299575289138e+01,3.697812991352468215e-01
3.344146446368321706e-06,1.274365011746995024e-06,7.151445682626217604e+01,2.461878348882470391e+01,2.350141066471473650e+01
3.209679919333793294e-06,1.119654552428983164e-06,-1.806109352968633175e+01,4.773642730183190963e+01,3.895774767524175530e+01
3.240477773967795161e-06,1.606764938277192262e-06,-4.450739291030913591e+01,2.873963089169324192e+01,8.744953402072824789e-01
3.238754526429474312e-06,1.117867595758289095e-06,-6.111556181218475103e+01,2.697613326391516253e+01,5.938851037708587910e-01
3.281194927931427863e-06,1.650711047444492691e-06,-8.647229931782931089e+01,1.031549974147907101e+01,1.720685993079016374e-01
3.201213365235961820e-06,1.254117401582188937e-06,-2.782216313760727644e+01,2.471807726346009915e+01,3.843790398559480126e-01
3.338794074972756363e-06,1.356130537223070729e-06,6.161632725968956947e+01,8.967269135004698910e+00,1.315366275433020871e-01
3.234948465867564268e-06,1.660516905337572320e-06,-2.178991860710084438e+00,4.392504559149671195e+01,3.581270217298333591e+01
3.117501448562033434e-06,1.600676879822276363e-06,-6.511528199538588524e+01,5.434737231863976170e+00,1.818358752801942264e-03
3.135555861211978010e-06,1.603212243053130569e-06,-1.904931957833468914e+01,5.485509629804573350e+00,4.446420525977447191e+00
3.265611327655278055e-06,1.818300248710438584e-06,6.272128673270344734e+01,5.737213476982290672e+00,1.714531095926849213e-01
3.274529195792637628e-06,1.685981313386000655e-06,7.672831785399466753e+01,1.388254722109661365e+01,8.794786697439725964e-01
3.274644285199828604e-06,1.680406918833032062e-06,-8.603782982099801302e+01,9.251544579290317927e+00,4.464330326259044468e-01
3.130446908270605041e-06,1.768636244307272075e-06,-7.023053697310388088e+01,1.024187840200924349e+01,8.358175793088085115e+00
3.176037376440726291e-06,1.722549783927388511e-06,8.291690579149872065e+01,1.049191473684564180e+01,8.540104298334538768e+00
3.310636516592130259e-06,1.828359447834081708e-06,-7.388430931605398655e+00,1.533173183504282200e+01,3.775720161271023945e-01
3.346634258876219411e-06,1.325819772244431067e-06,-8.628612987231463194e+01,1.116982821814128890e+01,4.559050042742909120e-02
3.267912923536859283e-06,1.493301312816329332e-06,-7.167108111083507538e+01,9.995080870979915488e+00,9.533984492076722717e+00
3.228226928162984514e-06,1.541282159881666369e-06,-5.641496461350470781e+01,1.943412160055188309e+01,6.911108524845803111e-03
3.263782423726879069e-06,1.075548348552547288e-06,-7.270224601496011019e+01,1.464222292209308485e+01,1.189375153910433625e+01
3.342350991225466363e-06,1.000200451761484119e-06,2.202104468364268541e+01,4.346206779876846227e+00,3.529903442372992917e+00
3.297635416338816277e-06,1.475335265044123009e-06,-2.632094919215887785e+01,1.195977567183572354e+01,3.167850471147398705e-01
3.134901563293896820e-06,1.628640055167488793e-06,-4.113167210016399622e+01,1.019585781060178498e+01,8.308484862429212470e+00
3.198439077461734526e-06,1.556902023106813294e-06,-6.772768517956137657e+01,1.952759417864850988e+01,4.234986955561553974e-03
3.167639648589901486e-06,1.650024145585484739e-06,8.561084230430424213e+01,1.300942405706986982e+01,7.316319086338551880e-02
3.263987692717127566e-06,1.785306498012505534e-06,-5.100674137473106384e+01,2.170767800532680525e+01,1.778731891407925403e+01
3.111964134337976458e-06,1.637990793767385152e-06,-3.804612234234809875e+01,6.174949950541897437e+00,5.021294359269263374e+00
3.224734094801023414e-06,1.007984261242672718e-06,-1.429228845052421093e+01,8.891388297655961281e+00,7.251223227564470797e+00
3.309269855503588870e-06,1.604533815640024663e-06,-8.383141710888594389e+01,1.962193375553482610e+00,1.860828944230885185e+00
3.148362528110518974e-06,1.294708889150060593e-06,-6.129697540774941444e+01,1.201927942648412362e+01,1.145776482677010044e+01
3.197855448566041706e-06,1.640034977104514870e-06,-1.940686357207596302e+01,4.461586972798306761e+01,3.643275054138966595e+01
3.275073171874173126e-06,9.191413872968404852e-07,-7.837606259621679783e+01,2.698365452701757761e+00,5.668005719420373539e-02
3.163697300014682297e-06,1.580062370747327637e-06,-6.242174659855663776e+00,1.184069992705347829e+01,4.327425350262361636e-01
3.185508366917856227e-06,1.385394539120607004e-06,3.684245292562991381e+01,2.739055044150683571e+01,3.672598079667072080e-02
3.186833295115865952e-06,1.499331240090541699e-06,5.011758300941437483e+01,1.710509803832631803e+01,7.157025743346279167e-02
3.338876311631538087e-06,1.121205280814319737e-06,-1.099654147401452065e-01,4.312193279569806137e+00,2.077308877485647409e-01
3.093367081816904214e-06,1.209226605575531626e-06,-5.585339067969471216e+01,4.912330594449351828e+00,3.992896592549608492e+00
3.236739183707758931e-06,1.795910200057551207e-06,3.218319309409707785e+01,2.547774012862288018e+01,2.083818850706492043e+01
3.177188243997879420e-06,1.302390647996216912e-06,-1.303095359355211258e+01,2.473180082982821659e+01,2.019784608995310293e+01
3.259607117070481162e-06,1.658814730746671581e-06,-8.411495782434940338e+01,2.787365038442846199e+01,9.191136125307113047e-02
3.134616758578121625e-06,1.106941053234040596e-06,1.406947156414389610e+01,1.898047376537411424e+01,1.542920804272628210e+01
3.091692369474694346e-06,1.198980566514656049e-06,-3.902820730581879616e+00,1.078638500510840537e+01,4.371430533646031985e-02
3.221245308389551930e-06,1.672806538343429399e-06,-8.882689481601119041e+01,4.369009283029358670e+01,3.682783828751896773e-03
3.120945784926079449e-06,1.635349364681169455e-06,-4.891569680068641901e+01,6.655425567238251183e+00,5.419906170328245842e+00
3.280450587423182936e-06,1.300559647995978540e-06,2.723866931162774563e+01,1.358178384555372276e+01,1.108025805165350341e+01
3.142281299672685613e-06,9.975111396517603463e-07,-4.583644080441445112e+01,2.494140766700139267e+01,2.032578833912091909e+01
3.320047989498488516e-06,1.758418804444372749e-06,-3.458622572477906942e+01,1.441177464833725708e+01,1.181764094072984328e+01
3.339682486724704631e-06,1.562861993056721757e-06,-2.011180669069290161e-01,1.686109721522188920e+01,4.328577167447259649e-02
